zn,fe,cu,mn,b,s,district_name,zn_adequate,fe_adequate,cu_adequate,mn_adequate,b_adequate,s_adequate,soil_quality_index
67.45,92.95,99.71,84.7,99.83,99.77,Bilaspur,1,1,1,1,1,1,1.0
96.97,87.88,100.0,100.0,100.0,66.67,Chamba,1,1,1,1,1,1,1.0
92.8,86.04,90.88,89.18,96.23,87.97,Hamirpur,1,1,1,1,1,1,1.0
98.35,89.1,98.51,97.77,95.98,75.26,Kangra,1,1,1,1,1,1,1.0
93.49,71.97,99.89,64.48,100.0,99.23,Kinnaur,1,1,1,1,1,1,1.0
87.49,84.62,97.37,79.66,90.31,91.07,Kullu,1,1,1,1,1,1,1.0
92.09,88.79,99.06,75.76,97.0,91.71,Lahul And Spiti,1,1,1,1,1,1,1.0
83.11,99.64,98.42,75.93,17.5,98.3,Mandi,1,1,1,1,0,1,0.8333333333333334
95.02,97.16,98.23,89.73,72.73,37.5,Shimla,1,1,1,1,1,0,0.8333333333333334
94.9,95.15,96.93,80.02,100.0,54.55,Sirmaur,1,1,1,1,1,1,1.0
75.69,94.88,96.61,47.35,77.78,99.81,Solan,1,1,1,0,1,1,0.8333333333333334
88.79,68.01,91.46,42.69,100.0,100.0,Una,1,1,1,0,1,1,0.8333333333333334
24.73,88.43,58.17,60.05,82.35,44.83,Anantnag,0,1,1,1,1,0,0.6666666666666666
15.94,34.75,42.15,31.3,28.57,47.62,Badgam,0,0,0,0,0,0,0.0
96.94,53.9,99.01,77.29,80.0,80.0,Bandipora,1,1,1,1,1,1,1.0
86.95,97.71,99.67,71.16,10.22,80.24,Baramulla,1,1,1,1,0,1,0.8333333333333334
31.75,86.21,92.88,81.78,66.67,93.93,Doda,0,1,1,1,1,1,0.8333333333333334
68.36,50.42,93.71,47.28,69.3,2.71,Ganderbal,1,1,1,0,1,0,0.6666666666666666
91.96,97.78,97.45,54.03,76.19,83.6,Jammu,1,1,1,1,1,1,1.0
88.11,78.63,93.87,88.95,62.26,79.09,Kathua,1,1,1,1,1,1,1.0
74.2,46.32,79.12,52.56,100.0,86.23,Kishtwar,1,0,1,1,1,1,0.8333333333333334
58.93,96.41,98.21,86.16,100.0,100.0,Kulgam,1,1,1,1,1,1,1.0
53.32,31.41,71.9,22.19,62.73,77.08,Kupwara,1,0,1,0,1,1,0.6666666666666666
92.74,81.33,93.53,53.89,0.37,83.23,Poonch,1,1,1,1,0,1,0.8333333333333334
37.58,29.67,41.47,15.36,99.84,4.72,Pulwama,0,0,0,0,1,0,0.16666666666666666
